entry_date,exit_date,direction_label,qty,entry_price,exit_price,stop_price,days_held,exit_reason,outcome,pnl,log_return
2024-08-05,2024-08-13,Short,-75,424.71,458.2114285714286,458.2114285714286,7,stop_loss,stop_loss,-2512.6071428571463,-0.07592412895470825
2024-11-07,2024-12-05,Long,75,508.4,521.81,487.11071428571427,20,timeout,success,1005.7499999999976,0.026034997634510112
2024-12-12,2024-12-20,Long,75,527.68,510.0464285714285,510.0464285714285,7,stop_loss,stop_loss,-1322.517857142857,-0.03398828138185976
2025-02-28,2025-03-27,Short,-75,500.13,481.62,524.7964285714286,20,timeout,success,1388.2499999999993,0.03771264325650876
2025-04-04,2025-04-25,Short,-75,438.14,470.73928571428564,470.73928571428564,15,stop_loss,stop_loss,-2444.9464285714243,-0.07176591323751338
2025-05-14,2025-06-11,Long,75,516.75,532.41,487.17214285714283,20,timeout,success,1174.4999999999977,0.029854670652705542
2025-11-19,2025-12-05,Short,-75,597.07,625.48,630.7385714285715,12,donchian_exit,timeout,-2130.7499999999977,-0.04648499552497185
2026-02-05,2026-03-05,Short,-75,600.21,608.91,631.3542857142858,20,timeout,timeout,-652.4999999999949,-0.014390879557210504
